_ObjectName,_SourceFile,_Script,_ScriptGUID,_ScriptFileID,MonoBehaviour.angle,MonoBehaviour.blendMode,MonoBehaviour.cornerColorLowerLeft,MonoBehaviour.cornerColorLowerRight,MonoBehaviour.cornerColorUpperLeft,MonoBehaviour.cornerColorUpperRight,MonoBehaviour.gradientType,MonoBehaviour.intensity,MonoBehaviour.linearColor1,MonoBehaviour.linearColor2,MonoBehaviour.linearGradient.atime0,MonoBehaviour.linearGradient.atime1,MonoBehaviour.linearGradient.atime2,MonoBehaviour.linearGradient.atime3,MonoBehaviour.linearGradient.atime4,MonoBehaviour.linearGradient.atime5,MonoBehaviour.linearGradient.atime6,MonoBehaviour.linearGradient.atime7,MonoBehaviour.linearGradient.ctime0,MonoBehaviour.linearGradient.ctime1,MonoBehaviour.linearGradient.ctime2,MonoBehaviour.linearGradient.ctime3,MonoBehaviour.linearGradient.ctime4,MonoBehaviour.linearGradient.ctime5,MonoBehaviour.linearGradient.ctime6,MonoBehaviour.linearGradient.ctime7,MonoBehaviour.linearGradient.key0,MonoBehaviour.linearGradient.key1,MonoBehaviour.linearGradient.key2,MonoBehaviour.linearGradient.key3,MonoBehaviour.linearGradient.key4,MonoBehaviour.linearGradient.key5,MonoBehaviour.linearGradient.key6,MonoBehaviour.linearGradient.key7,MonoBehaviour.linearGradient.m_ColorSpace,MonoBehaviour.linearGradient.m_Mode,MonoBehaviour.linearGradient.m_NumAlphaKeys,MonoBehaviour.linearGradient.m_NumColorKeys,MonoBehaviour.linearGradient.serializedVersion,MonoBehaviour.m_CorrespondingSourceObject,MonoBehaviour.m_CorrespondingSourceObject_fileID,MonoBehaviour.m_EditorHideFlags,MonoBehaviour.m_Enabled,MonoBehaviour.m_GameObject,MonoBehaviour.m_GameObject_fileID,MonoBehaviour.m_ObjectHideFlags,MonoBehaviour.m_PrefabAsset,MonoBehaviour.m_PrefabAsset_fileID,MonoBehaviour.m_PrefabInstance,MonoBehaviour.m_PrefabInstance_fileID,MonoBehaviour.m_Script,MonoBehaviour.m_Script_fileID,MonoBehaviour.m_Script_guid
LevelManager,Assets/GameObject/LevelManager.prefab,1771844f66abe677a32d54ceab8db201,1771844f66abe677a32d54ceab8db201,11500000,0,0,"{r: 0, g: 0, b: 1, a: 1}","{r: 0, g: 1, b: 0, a: 1}","{r: 1, g: 0, b: 0, a: 1}","{r: 1, g: 0.92156863, b: 0.015686275, a: 1}",0,1,"{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 1}","{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 0}",0,65535,0,0,0,0,0,0,0,32768,65535,0,0,0,0,0,"{r: 0.5137255, g: 0.227451, b: 0.7058824, a: 1}","{r: 0.9921569, g: 0.1137255, b: 0.1137255, a: 1}","{r: 0.9882353, g: 0.6901961, b: 0.2705882, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}",-1,0,2,3,2,{fileID: 0},0,0,1,{fileID: 1043380473764106},1043380473764106,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 11500000, guid: 1771844f66abe677a32d54ceab8db201, type: 3}",11500000,1771844f66abe677a32d54ceab8db201
LevelManager,Assets/GameObject/LevelManager.prefab,1771844f66abe677a32d54ceab8db201,1771844f66abe677a32d54ceab8db201,11500000,180,0,"{r: 0, g: 0, b: 1, a: 1}","{r: 0, g: 1, b: 0, a: 1}","{r: 1, g: 0, b: 0, a: 1}","{r: 1, g: 0.92156863, b: 0.015686275, a: 1}",0,1,"{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 1}","{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 0}",0,65535,0,0,0,0,0,0,0,32768,65535,0,0,0,0,0,"{r: 0.5137255, g: 0.227451, b: 0.7058824, a: 1}","{r: 0.9921569, g: 0.1137255, b: 0.1137255, a: 1}","{r: 0.9882353, g: 0.6901961, b: 0.2705882, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}",-1,0,2,3,2,{fileID: 0},0,0,1,{fileID: 1187159533796342},1187159533796342,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 11500000, guid: 1771844f66abe677a32d54ceab8db201, type: 3}",11500000,1771844f66abe677a32d54ceab8db201
LevelManager,Assets/GameObject/LevelManager.prefab,1771844f66abe677a32d54ceab8db201,1771844f66abe677a32d54ceab8db201,11500000,0,0,"{r: 0, g: 0, b: 1, a: 1}","{r: 0, g: 1, b: 0, a: 1}","{r: 1, g: 0, b: 0, a: 1}","{r: 1, g: 0.92156863, b: 0.015686275, a: 1}",0,1,"{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 1}","{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 0}",0,65535,0,0,0,0,0,0,0,32768,65535,0,0,0,0,0,"{r: 0.5137255, g: 0.227451, b: 0.7058824, a: 1}","{r: 0.9921569, g: 0.1137255, b: 0.1137255, a: 1}","{r: 0.9882353, g: 0.6901961, b: 0.2705882, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}",-1,0,2,3,2,{fileID: 0},0,0,1,{fileID: 1382237701220237},1382237701220237,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 11500000, guid: 1771844f66abe677a32d54ceab8db201, type: 3}",11500000,1771844f66abe677a32d54ceab8db201
LevelManager,Assets/GameObject/LevelManager.prefab,1771844f66abe677a32d54ceab8db201,1771844f66abe677a32d54ceab8db201,11500000,180,0,"{r: 0, g: 0, b: 1, a: 1}","{r: 0, g: 1, b: 0, a: 1}","{r: 1, g: 0, b: 0, a: 1}","{r: 1, g: 0.92156863, b: 0.015686275, a: 1}",0,1,"{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 1}","{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 0}",0,65535,0,0,0,0,0,0,0,32768,65535,0,0,0,0,0,"{r: 0.5137255, g: 0.227451, b: 0.7058824, a: 1}","{r: 0.9921569, g: 0.1137255, b: 0.1137255, a: 1}","{r: 0.9882353, g: 0.6901961, b: 0.2705882, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}",-1,0,2,3,2,{fileID: 0},0,0,1,{fileID: 1703008485907434},1703008485907434,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 11500000, guid: 1771844f66abe677a32d54ceab8db201, type: 3}",11500000,1771844f66abe677a32d54ceab8db201
LevelManager,Assets/GameObject/LevelManager.prefab,1771844f66abe677a32d54ceab8db201,1771844f66abe677a32d54ceab8db201,11500000,0,0,"{r: 0, g: 0, b: 1, a: 1}","{r: 0, g: 1, b: 0, a: 1}","{r: 1, g: 0, b: 0, a: 1}","{r: 1, g: 0.92156863, b: 0.015686275, a: 1}",0,1,"{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 1}","{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 0}",0,65535,0,0,0,0,0,0,0,32768,65535,0,0,0,0,0,"{r: 0.5137255, g: 0.227451, b: 0.7058824, a: 1}","{r: 0.9921569, g: 0.1137255, b: 0.1137255, a: 1}","{r: 0.9882353, g: 0.6901961, b: 0.2705882, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}",-1,0,2,3,2,{fileID: 0},0,0,1,{fileID: 1896589337508790},1896589337508790,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 11500000, guid: 1771844f66abe677a32d54ceab8db201, type: 3}",11500000,1771844f66abe677a32d54ceab8db201
LevelManager,Assets/GameObject/LevelManager.prefab,1771844f66abe677a32d54ceab8db201,1771844f66abe677a32d54ceab8db201,11500000,180,0,"{r: 0, g: 0, b: 1, a: 1}","{r: 0, g: 1, b: 0, a: 1}","{r: 1, g: 0, b: 0, a: 1}","{r: 1, g: 0.92156863, b: 0.015686275, a: 1}",0,1,"{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 1}","{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 0}",0,65535,0,0,0,0,0,0,0,32768,65535,0,0,0,0,0,"{r: 0.5137255, g: 0.227451, b: 0.7058824, a: 1}","{r: 0.9921569, g: 0.1137255, b: 0.1137255, a: 1}","{r: 0.9882353, g: 0.6901961, b: 0.2705882, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}",-1,0,2,3,2,{fileID: 0},0,0,1,{fileID: 1428801055953039},1428801055953039,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 11500000, guid: 1771844f66abe677a32d54ceab8db201, type: 3}",11500000,1771844f66abe677a32d54ceab8db201
LevelManager,Assets/GameObject/LevelManager.prefab,1771844f66abe677a32d54ceab8db201,1771844f66abe677a32d54ceab8db201,11500000,0,0,"{r: 0, g: 0, b: 1, a: 1}","{r: 0, g: 1, b: 0, a: 1}","{r: 1, g: 0, b: 0, a: 1}","{r: 1, g: 0.92156863, b: 0.015686275, a: 1}",0,1,"{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 1}","{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 0}",0,65535,0,0,0,0,0,0,0,32768,65535,0,0,0,0,0,"{r: 0.5137255, g: 0.227451, b: 0.7058824, a: 1}","{r: 0.9921569, g: 0.1137255, b: 0.1137255, a: 1}","{r: 0.9882353, g: 0.6901961, b: 0.2705882, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}",-1,0,2,3,2,{fileID: 0},0,0,1,{fileID: 1227008387530123},1227008387530123,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 11500000, guid: 1771844f66abe677a32d54ceab8db201, type: 3}",11500000,1771844f66abe677a32d54ceab8db201
LevelManager,Assets/GameObject/LevelManager.prefab,1771844f66abe677a32d54ceab8db201,1771844f66abe677a32d54ceab8db201,11500000,180,0,"{r: 0, g: 0, b: 1, a: 1}","{r: 0, g: 1, b: 0, a: 1}","{r: 1, g: 0, b: 0, a: 1}","{r: 1, g: 0.92156863, b: 0.015686275, a: 1}",0,1,"{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 1}","{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 0}",0,65535,0,0,0,0,0,0,0,32768,65535,0,0,0,0,0,"{r: 0.5137255, g: 0.227451, b: 0.7058824, a: 1}","{r: 0.9921569, g: 0.1137255, b: 0.1137255, a: 1}","{r: 0.9882353, g: 0.6901961, b: 0.2705882, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}",-1,0,2,3,2,{fileID: 0},0,0,1,{fileID: 1851807618539720},1851807618539720,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 11500000, guid: 1771844f66abe677a32d54ceab8db201, type: 3}",11500000,1771844f66abe677a32d54ceab8db201
LevelManager,Assets/GameObject/LevelManager.prefab,1771844f66abe677a32d54ceab8db201,1771844f66abe677a32d54ceab8db201,11500000,0,0,"{r: 0, g: 0, b: 1, a: 1}","{r: 0, g: 1, b: 0, a: 1}","{r: 1, g: 0, b: 0, a: 1}","{r: 1, g: 0.92156863, b: 0.015686275, a: 1}",0,1,"{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 1}","{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 0}",0,65535,0,0,0,0,0,0,0,32768,65535,0,0,0,0,0,"{r: 0.5137255, g: 0.227451, b: 0.7058824, a: 1}","{r: 0.9921569, g: 0.1137255, b: 0.1137255, a: 1}","{r: 0.9882353, g: 0.6901961, b: 0.2705882, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}",-1,0,2,3,2,{fileID: 0},0,0,1,{fileID: 1594272707910663},1594272707910663,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 11500000, guid: 1771844f66abe677a32d54ceab8db201, type: 3}",11500000,1771844f66abe677a32d54ceab8db201
LevelManager,Assets/GameObject/LevelManager.prefab,1771844f66abe677a32d54ceab8db201,1771844f66abe677a32d54ceab8db201,11500000,180,0,"{r: 0, g: 0, b: 1, a: 1}","{r: 0, g: 1, b: 0, a: 1}","{r: 1, g: 0, b: 0, a: 1}","{r: 1, g: 0.92156863, b: 0.015686275, a: 1}",0,1,"{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 1}","{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 0}",0,65535,0,0,0,0,0,0,0,32768,65535,0,0,0,0,0,"{r: 0.5137255, g: 0.227451, b: 0.7058824, a: 1}","{r: 0.9921569, g: 0.1137255, b: 0.1137255, a: 1}","{r: 0.9882353, g: 0.6901961, b: 0.2705882, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}",-1,0,2,3,2,{fileID: 0},0,0,1,{fileID: 1522912401515895},1522912401515895,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 11500000, guid: 1771844f66abe677a32d54ceab8db201, type: 3}",11500000,1771844f66abe677a32d54ceab8db201
LevelManager,Assets/GameObject/LevelManager.prefab,1771844f66abe677a32d54ceab8db201,1771844f66abe677a32d54ceab8db201,11500000,0,0,"{r: 0, g: 0, b: 1, a: 1}","{r: 0, g: 1, b: 0, a: 1}","{r: 1, g: 0, b: 0, a: 1}","{r: 1, g: 0.92156863, b: 0.015686275, a: 1}",0,1,"{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 1}","{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 0}",0,65535,0,0,0,0,0,0,0,32768,65535,0,0,0,0,0,"{r: 0.5137255, g: 0.227451, b: 0.7058824, a: 1}","{r: 0.9921569, g: 0.1137255, b: 0.1137255, a: 1}","{r: 0.9882353, g: 0.6901961, b: 0.2705882, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}",-1,0,2,3,2,{fileID: 0},0,0,1,{fileID: 1116763305659733},1116763305659733,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 11500000, guid: 1771844f66abe677a32d54ceab8db201, type: 3}",11500000,1771844f66abe677a32d54ceab8db201
LevelManager,Assets/GameObject/LevelManager.prefab,1771844f66abe677a32d54ceab8db201,1771844f66abe677a32d54ceab8db201,11500000,180,0,"{r: 0, g: 0, b: 1, a: 1}","{r: 0, g: 1, b: 0, a: 1}","{r: 1, g: 0, b: 0, a: 1}","{r: 1, g: 0.92156863, b: 0.015686275, a: 1}",0,1,"{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 1}","{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 0}",0,65535,0,0,0,0,0,0,0,32768,65535,0,0,0,0,0,"{r: 0.5137255, g: 0.227451, b: 0.7058824, a: 1}","{r: 0.9921569, g: 0.1137255, b: 0.1137255, a: 1}","{r: 0.9882353, g: 0.6901961, b: 0.2705882, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}",-1,0,2,3,2,{fileID: 0},0,0,1,{fileID: 1059996188654406},1059996188654406,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 11500000, guid: 1771844f66abe677a32d54ceab8db201, type: 3}",11500000,1771844f66abe677a32d54ceab8db201
LevelManager,Assets/GameObject/LevelManager.prefab,1771844f66abe677a32d54ceab8db201,1771844f66abe677a32d54ceab8db201,11500000,0,0,"{r: 0, g: 0, b: 1, a: 1}","{r: 0, g: 1, b: 0, a: 1}","{r: 1, g: 0, b: 0, a: 1}","{r: 1, g: 0.92156863, b: 0.015686275, a: 1}",0,1,"{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 1}","{r: 0.9725491, g: 0.9490197, b: 0.9176471, a: 0}",0,65535,0,0,0,0,0,0,0,32768,65535,0,0,0,0,0,"{r: 0.5137255, g: 0.227451, b: 0.7058824, a: 1}","{r: 0.9921569, g: 0.1137255, b: 0.1137255, a: 1}","{r: 0.9882353, g: 0.6901961, b: 0.2705882, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}","{r: 0, g: 0, b: 0, a: 0}",-1,0,2,3,2,{fileID: 0},0,0,1,{fileID: 1939165668027143},1939165668027143,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 11500000, guid: 1771844f66abe677a32d54ceab8db201, type: 3}",11500000,1771844f66abe677a32d54ceab8db201
