_ObjectName,_SourceFile,_Script,_ScriptGUID,_ScriptFileID,MonoBehaviour.- key,MonoBehaviour.- socketPoint,MonoBehaviour.- socketPoint_fileID,MonoBehaviour.- target,MonoBehaviour.- {fileID,MonoBehaviour.acceptSticky,MonoBehaviour.actionSound,MonoBehaviour.agentUtilities.- key,MonoBehaviour.agentUtilities.agentPrefab,MonoBehaviour.agentUtilities.agentPrefab_fileID,MonoBehaviour.agentUtilities.agentPrefab_guid,MonoBehaviour.agentUtilities.agentPrefab_path,MonoBehaviour.agentUtilities.agents,MonoBehaviour.allowMultipleTrigger,MonoBehaviour.attachedToItem,MonoBehaviour.attachedToItem_fileID,MonoBehaviour.baseValue,MonoBehaviour.constants.- key,MonoBehaviour.constants.data,MonoBehaviour.constants.dataType,MonoBehaviour.constants.display,MonoBehaviour.constants.entries,MonoBehaviour.content,MonoBehaviour.defaultCapacity,MonoBehaviour.description,MonoBehaviour.display,MonoBehaviour.displayName,MonoBehaviour.displayNameKey,MonoBehaviour.displayQuality,MonoBehaviour.durabilityUsage,MonoBehaviour.effects,MonoBehaviour.enableInInventory,MonoBehaviour.excludeTags,MonoBehaviour.filters,MonoBehaviour.forbidItemsWithSameID,MonoBehaviour.hasBeenInspectedInLootBox,MonoBehaviour.hasSound,MonoBehaviour.hideIfPluged,MonoBehaviour.hideIfPluged_fileID,MonoBehaviour.icon,MonoBehaviour.icon_fileID,MonoBehaviour.icon_guid,MonoBehaviour.icon_path,MonoBehaviour.inventory,MonoBehaviour.inventory_fileID,MonoBehaviour.item,MonoBehaviour.itemGraphic,MonoBehaviour.itemGraphic_fileID,MonoBehaviour.itemGraphic_guid,MonoBehaviour.itemGraphic_path,MonoBehaviour.item_fileID,MonoBehaviour.key,MonoBehaviour.list,MonoBehaviour.m_CorrespondingSourceObject,MonoBehaviour.m_CorrespondingSourceObject_fileID,MonoBehaviour.m_EditorHideFlags,MonoBehaviour.m_Enabled,MonoBehaviour.m_GameObject,MonoBehaviour.m_GameObject_fileID,MonoBehaviour.m_ObjectHideFlags,MonoBehaviour.m_PrefabAsset,MonoBehaviour.m_PrefabAsset_fileID,MonoBehaviour.m_PrefabInstance,MonoBehaviour.m_PrefabInstance_fileID,MonoBehaviour.m_Script,MonoBehaviour.m_Script_fileID,MonoBehaviour.m_Script_guid,MonoBehaviour.m_Script_path,MonoBehaviour.master,MonoBehaviour.master_fileID,MonoBehaviour.maxStackCount,MonoBehaviour.modifiers,MonoBehaviour.modifiers_fileID,MonoBehaviour.needInspection,MonoBehaviour.order,MonoBehaviour.overrideOrder,MonoBehaviour.period,MonoBehaviour.quality,MonoBehaviour.requireTags,MonoBehaviour.showIfPluged,MonoBehaviour.showIfPluged_fileID,MonoBehaviour.slotIcon,MonoBehaviour.slotIcon_fileID,MonoBehaviour.slotIcon_guid,MonoBehaviour.slotIcon_path,MonoBehaviour.slots,MonoBehaviour.slots_fileID,MonoBehaviour.sockets,MonoBehaviour.stats,MonoBehaviour.stats_fileID,MonoBehaviour.tags.- {fileID,MonoBehaviour.tags.list,MonoBehaviour.type,MonoBehaviour.typeID,MonoBehaviour.usageUtilities,MonoBehaviour.usageUtilities_fileID,MonoBehaviour.useDurability,MonoBehaviour.useSound,MonoBehaviour.useTime,MonoBehaviour.value,MonoBehaviour.variables.- key,MonoBehaviour.variables.data,MonoBehaviour.variables.dataType,MonoBehaviour.variables.display,MonoBehaviour.variables.entries,MonoBehaviour.weight
Cartridge_FactoryPanicShock,Assets/GameObject/Cartridge_FactoryPanicShock.prefab,ItemStatsSystem,f68cddb67ce586c8790cf50e7c337134,783574151,,,,,,,,,,,,,[],,,,,GameID,466163746f727950616e696353686f636b,4,0,,,,,,Item_Cartridge_FactoryPanicShock,,0,,[],,,,,,,,,"{fileID: 21300000, guid: 6e8045f49d4780846a3ffc614d0d2bd5, type: 2}",21300000,6e8045f49d4780846a3ffc614d0d2bd5,Assets/Sprite/ItemGraphic_Cartridge_FactoryPanicShock.asset,{fileID: 0},0,,"{fileID: 114457123917973675, guid: 1f7fedfbed33ada47a459c44129a45a4, type: 2}",114457123917973675,1f7fedfbed33ada47a459c44129a45a4,Assets/GameObject/ItemGraphic_Cartridge_FactoryPanicShock.prefab,,,,{fileID: 0},0,0,1,{fileID: 1800924804084935},1800924804084935,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 783574151, guid: f68cddb67ce586c8790cf50e7c337134, type: 3}",783574151,f68cddb67ce586c8790cf50e7c337134,Assets/Plugins/ItemStatsSystem.dll,,,1,{fileID: 0},0,,4,,,999,,,,,,,,{fileID: 0},0,,{fileID: 0},0,"11400000, guid: 927b9b98b7836f84f98acea1417b3668, type: 2}",,,928,{fileID: 0},0,,,,7654,,,,,[],0.15
SHT_MP155M_Normal,Assets/GameObject/SHT_MP155M_Normal.prefab,ItemStatsSystem,f68cddb67ce586c8790cf50e7c337134,783574151,,,,,,,,Handheld,"{fileID: 114754517592950958, guid: 3c1f1732255ba8248bebefe43ab57ff5, type: 2}",114754517592950958,3c1f1732255ba8248bebefe43ab57ff5,Assets/GameObject/Agent_Handheld_Gun_MP155M.prefab,,,,,,Caliber,534854,4,1,,,,,,Item_SHT_MP155M_Normal,,0,,[],,,,,,,,,"{fileID: 21300000, guid: 539f2d2167680fe41a97a4054a0de024, type: 2}",21300000,539f2d2167680fe41a97a4054a0de024,Assets/Sprite/PFB_MP155Ultima.asset,{fileID: 114897375919274811},114897375919274811,,{fileID: 0},0,,,,,,{fileID: 0},0,0,1,{fileID: 1724076374662695},1724076374662695,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 783574151, guid: f68cddb67ce586c8790cf50e7c337134, type: 3}",783574151,f68cddb67ce586c8790cf50e7c337134,Assets/Plugins/ItemStatsSystem.dll,,,1,{fileID: 114988294669246863},114988294669246863,,607,,,7,,,,,,,,{fileID: 114147843491512338},114147843491512338,,{fileID: 114811737706019613},114811737706019613,"11400000, guid: 8444f8a40fd133f4bb028272ff395360, type: 2}",,,876,{fileID: 0},0,,,,6842,Durability,0000c842,1,0,,3.3
SHT_MP155M_Normal,Assets/GameObject/SHT_MP155M_Normal.prefab,ItemStatsSystem,f68cddb67ce586c8790cf50e7c337134,1507211381,FlashLight,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{fileID: 0},0,0,1,{fileID: 1724076374662695},1724076374662695,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1507211381, guid: f68cddb67ce586c8790cf50e7c337134, type: 3}",1507211381,f68cddb67ce586c8790cf50e7c337134,Assets/Plugins/ItemStatsSystem.dll,{fileID: 114082607860417738},114082607860417738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHT_MP155M_Normal,Assets/GameObject/SHT_MP155M_Normal.prefab,ItemStatsSystem,f68cddb67ce586c8790cf50e7c337134,936247221,Tec,,,,"11400000, guid: a99d0a68f90e4064586745529c49099d, type: 2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,0,,,,,,,,,,,,,,,,,,,{fileID: 0},0,0,1,{fileID: 1724076374662695},1724076374662695,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 936247221, guid: f68cddb67ce586c8790cf50e7c337134, type: 3}",936247221,f68cddb67ce586c8790cf50e7c337134,Assets/Plugins/ItemStatsSystem.dll,{fileID: 114082607860417738},114082607860417738,,,,,,,,,,,,{fileID: 0},0,,,,,,,,,,,,,,,,,,,,,,,
SHT_MP155M_Normal,Assets/GameObject/SHT_MP155M_Normal.prefab,ItemStatsSystem,f68cddb67ce586c8790cf50e7c337134,269500879,,,,,,0,,,,,,,,,{fileID: 114082607860417738},114082607860417738,,,,,,,[],6,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,{fileID: 0},0,0,1,{fileID: 1724076374662695},1724076374662695,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 269500879, guid: f68cddb67ce586c8790cf50e7c337134, type: 3}",269500879,f68cddb67ce586c8790cf50e7c337134,Assets/Plugins/ItemStatsSystem.dll,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHT_MP155M_Normal,Assets/GameObject/SHT_MP155M_Normal.prefab,ItemStatsSystem,f68cddb67ce586c8790cf50e7c337134,-319703745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],{fileID: 0},0,0,1,{fileID: 1724076374662695},1724076374662695,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -319703745, guid: f68cddb67ce586c8790cf50e7c337134, type: 3}",-319703745,f68cddb67ce586c8790cf50e7c337134,Assets/Plugins/ItemStatsSystem.dll,{fileID: 114082607860417738},114082607860417738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP_Bullet_SHT_Normal,Assets/GameObject/BP_Bullet_SHT_Normal.prefab,ItemStatsSystem,f68cddb67ce586c8790cf50e7c337134,783574151,,,,,,,,,,,,,[],,,,,,,,,[],,,,,Item_BP_Bullet_SHT_Normal,,0,,[],,,,,,,,,"{fileID: 21300000, guid: e893b4f80f2029d4b8d5361ee46f2c46, type: 2}",21300000,e893b4f80f2029d4b8d5361ee46f2c46,Assets/Sprite/Blueprint.asset,{fileID: 0},0,,{fileID: 0},0,,,,,,{fileID: 0},0,0,1,{fileID: 1097384955708070},1097384955708070,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 783574151, guid: f68cddb67ce586c8790cf50e7c337134, type: 3}",783574151,f68cddb67ce586c8790cf50e7c337134,Assets/Plugins/ItemStatsSystem.dll,,,1,{fileID: 0},0,,0,,,9,,,,,,,,{fileID: 0},0,,{fileID: 0},0,"11400000, guid: 74054ceaaaf74e54db9c50e72b3dd5c3, type: 2}",,,677,{fileID: 0},0,,,,50,,,,,[],0.1
Fish_Red_Spotted_Grouper,Assets/GameObject/Fish_Red_Spotted_Grouper.prefab,ItemStatsSystem,f68cddb67ce586c8790cf50e7c337134,783574151,,,,,,,,,,,,,[],,,,,,,,,[],,,,,Item_Fish_Red_Spotted_Grouper,,0,,[],,,,,,,,,"{fileID: 21300000, guid: beaa364406f6f6e45971910e8728fadf, type: 2}",21300000,beaa364406f6f6e45971910e8728fadf,Assets/Sprite/Fish_Red_Spotted_Grouper.asset,{fileID: 0},0,,{fileID: 0},0,,,,,,{fileID: 0},0,0,1,{fileID: 1218467112671297},1218467112671297,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 783574151, guid: f68cddb67ce586c8790cf50e7c337134, type: 3}",783574151,f68cddb67ce586c8790cf50e7c337134,Assets/Plugins/ItemStatsSystem.dll,,,1,{fileID: 0},0,,5,,,995,,,,,,,,{fileID: 0},0,,{fileID: 114624288200589649},114624288200589649,"11400000, guid: 564a340a489ca2a4ca0b5d9a4bd49bcc, type: 2}",,,1121,{fileID: 0},0,,,,6534,,,,,[],0.89
Fish_Red_Spotted_Grouper,Assets/GameObject/Fish_Red_Spotted_Grouper.prefab,ItemStatsSystem,f68cddb67ce586c8790cf50e7c337134,1507211381,FishingDifficulty,,,,,,,,,,,,,,,,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{fileID: 0},0,0,1,{fileID: 1218467112671297},1218467112671297,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1507211381, guid: f68cddb67ce586c8790cf50e7c337134, type: 3}",1507211381,f68cddb67ce586c8790cf50e7c337134,Assets/Plugins/ItemStatsSystem.dll,{fileID: 114156858561413005},114156858561413005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totem_Strong,Assets/GameObject/Totem_Strong.prefab,ItemStatsSystem,f68cddb67ce586c8790cf50e7c337134,783574151,,,,,,,,,,,,,[],,,,,,,,,[],,,,,Item_Totem_Strong,,2,,[],,,,,,,,,"{fileID: 21300000, guid: 6ed04957c94427f46bf1ebcf379012c2, type: 2}",21300000,6ed04957c94427f46bf1ebcf379012c2,Assets/Sprite/Totem.asset,{fileID: 0},0,,{fileID: 0},0,,,,,,{fileID: 0},0,0,1,{fileID: 1060493838284057},1060493838284057,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 783574151, guid: f68cddb67ce586c8790cf50e7c337134, type: 3}",783574151,f68cddb67ce586c8790cf50e7c337134,Assets/Plugins/ItemStatsSystem.dll,,,1,{fileID: 114988240120496176},114988240120496176,,62,,,2,,,,,,,,{fileID: 0},0,,{fileID: 0},0,"11400000, guid: df10e737622f95b48b7f403468b71196, type: 2}",,,995,{fileID: 0},0,,,,1000,,,,,[],0.3
