_ObjectName,_SourceFile,_Script,_ScriptGUID,_ScriptFileID,MonoBehaviour.baked,MonoBehaviour.bakedShadows,MonoBehaviour.blendMode,MonoBehaviour.color,MonoBehaviour.colorBleedMode,MonoBehaviour.cutout,MonoBehaviour.disableFitCompensation,MonoBehaviour.ignoreCasterColor,MonoBehaviour.ignoreExternalActive,MonoBehaviour.inset,MonoBehaviour.m_CorrespondingSourceObject,MonoBehaviour.m_CorrespondingSourceObject_fileID,MonoBehaviour.m_EditorHideFlags,MonoBehaviour.m_Enabled,MonoBehaviour.m_GameObject,MonoBehaviour.m_GameObject_fileID,MonoBehaviour.m_ObjectHideFlags,MonoBehaviour.m_PrefabAsset,MonoBehaviour.m_PrefabAsset_fileID,MonoBehaviour.m_PrefabInstance,MonoBehaviour.m_PrefabInstance_fileID,MonoBehaviour.m_Script,MonoBehaviour.m_Script_fileID,MonoBehaviour.m_Script_guid,MonoBehaviour.m_Script_path,MonoBehaviour.modifiedFromInspector,MonoBehaviour.offset,MonoBehaviour.offsetAngle,MonoBehaviour.offsetDistance,MonoBehaviour.shadowAsSibling,MonoBehaviour.size,MonoBehaviour.spread,MonoBehaviour.useCasterAlpha,MonoBehaviour.useGlobalAngle
TaskEntry,Assets/GameObject/TaskEntry.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 1, g: 1, b: 1, a: 0.28235295}",2,0,0,1,1,0,{fileID: 0},0,0,1,{fileID: 1504113034790232},1504113034790232,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,11.39,0,1,0
QuestEntry,Assets/GameObject/QuestEntry.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],2,"{r: 1, g: 0.61960787, b: 0.227451, a: 1}",2,0,0,0,0,0,{fileID: 0},0,0,1,{fileID: 1917891261745925},1917891261745925,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,8,0,1,0
QuestEntry,Assets/GameObject/QuestEntry.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,0,0,{fileID: 0},0,0,1,{fileID: 1956797643265820},1956797643265820,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 2.8284268, y: -2.8284273}",45,4,0,4.8,0,1,0
QuestEntry,Assets/GameObject/QuestEntry.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 1, g: 0.10849059, b: 0.10849059, a: 1}",2,0,0,0,0,0,{fileID: 0},0,0,1,{fileID: 1650161965530682},1650161965530682,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,3.5,0,1,0
InventoryEntry Trading Selling,Assets/GameObject/InventoryEntry Trading Selling.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],1,"{r: 0.47770557, g: 0.8962264, b: 0.56048983, a: 1}",2,0,0,0,1,1,{fileID: 0},0,0,1,{fileID: 1777081461532174},1777081461532174,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,15,0,0,0
InventoryEntry Trading Selling,Assets/GameObject/InventoryEntry Trading Selling.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.6}",2,0,0,0,0,0,{fileID: 0},0,0,1,{fileID: 1592363302087709},1592363302087709,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 1.4142134, y: -1.4142137}",45,2,0,8,0,1,0
InventoryEntry Trading Selling,Assets/GameObject/InventoryEntry Trading Selling.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 0, g: 0, b: 0, a: 0.72156864}",2,0,0,1,1,0,{fileID: 0},0,0,1,{fileID: 1369753440980122},1369753440980122,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 5.9195232, y: -5.38138}",42.273666,8,0,3,0.5,1,0
InventoryEntry Trading Selling,Assets/GameObject/InventoryEntry Trading Selling.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 1, g: 1, b: 1, a: 1}",2,0,0,1,0,0,{fileID: 0},0,0,1,{fileID: 1944042420839744},1944042420839744,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,1,0,1,0
InventoryEntry Trading Selling,Assets/GameObject/InventoryEntry Trading Selling.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 1, g: 1, b: 1, a: 0.6}",2,0,0,0,0,0,{fileID: 0},0,0,1,{fileID: 1044282205924946},1044282205924946,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,2,0,1,0
InventoryEntry Trading Selling,Assets/GameObject/InventoryEntry Trading Selling.prefab,LeTai.TrueShadow,1fa22c2b5ebef5f8f09692d9ba1e5baa,-248771874,0,[],0,"{r: 1, g: 1, b: 1, a: 0.6}",2,0,0,0,0,0,{fileID: 0},0,0,1,{fileID: 1884910782157504},1884910782157504,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -248771874, guid: 1fa22c2b5ebef5f8f09692d9ba1e5baa, type: 3}",-248771874,1fa22c2b5ebef5f8f09692d9ba1e5baa,Assets/Plugins/LeTai.TrueShadow.dll,0,"{x: 0, y: -0}",90,0,0,2,0,1,0
