_ObjectName,_SourceFile,_Script,_ScriptGUID,_ScriptFileID,MonoBehaviour.angleLimit,MonoBehaviour.baseLodFactor,MonoBehaviour.castShadows,MonoBehaviour.clumpCount,MonoBehaviour.clumpLimitNoiseVariation,MonoBehaviour.clumpPercentage,MonoBehaviour.colliderInfluence,MonoBehaviour.customRenderingMaterial,MonoBehaviour.customRenderingMaterial_fileID,MonoBehaviour.density,MonoBehaviour.densityScale,MonoBehaviour.direction,MonoBehaviour.flatten,MonoBehaviour.growDirection,MonoBehaviour.growDirectionBySurfaceNormal,MonoBehaviour.limpness,MonoBehaviour.lodFalloffExponent,MonoBehaviour.lodScale,MonoBehaviour.lowerArc,MonoBehaviour.m_Active,MonoBehaviour.m_CorrespondingSourceObject,MonoBehaviour.m_CorrespondingSourceObject_fileID,MonoBehaviour.m_EditorHideFlags,MonoBehaviour.m_Enabled,MonoBehaviour.m_GameObject,MonoBehaviour.m_GameObject_fileID,MonoBehaviour.m_Name,MonoBehaviour.m_ObjectHideFlags,MonoBehaviour.m_PrefabAsset,MonoBehaviour.m_PrefabAsset_fileID,MonoBehaviour.m_PrefabInstance,MonoBehaviour.m_PrefabInstance_fileID,MonoBehaviour.m_Script,MonoBehaviour.m_Script_fileID,MonoBehaviour.m_Script_guid,MonoBehaviour.m_Script_path,MonoBehaviour.maxBakesPerFrame,MonoBehaviour.minimalHeight,MonoBehaviour.noAlphaToCoverage,MonoBehaviour.noiseLayer0.angle,MonoBehaviour.noiseLayer0.color,MonoBehaviour.noiseLayer0.colorInfluence,MonoBehaviour.noiseLayer0.disable,MonoBehaviour.noiseLayer0.height,MonoBehaviour.noiseLayer0.offset,MonoBehaviour.noiseLayer0.skew,MonoBehaviour.noiseLayer0.solo,MonoBehaviour.noiseLayer0.texture,MonoBehaviour.noiseLayer0.texture_fileID,MonoBehaviour.noiseLayer0.texture_guid,MonoBehaviour.noiseLayer0.texture_path,MonoBehaviour.noiseLayer0.thickness,MonoBehaviour.noiseLayer0.tiling,MonoBehaviour.noiseLayer0.valueOffset,MonoBehaviour.noiseLayer0.valueScale,MonoBehaviour.noiseLayer1.angle,MonoBehaviour.noiseLayer1.color,MonoBehaviour.noiseLayer1.colorInfluence,MonoBehaviour.noiseLayer1.disable,MonoBehaviour.noiseLayer1.height,MonoBehaviour.noiseLayer1.offset,MonoBehaviour.noiseLayer1.skew,MonoBehaviour.noiseLayer1.solo,MonoBehaviour.noiseLayer1.texture,MonoBehaviour.noiseLayer1.texture_fileID,MonoBehaviour.noiseLayer1.texture_guid,MonoBehaviour.noiseLayer1.texture_path,MonoBehaviour.noiseLayer1.thickness,MonoBehaviour.noiseLayer1.tiling,MonoBehaviour.noiseLayer1.valueOffset,MonoBehaviour.noiseLayer1.valueScale,MonoBehaviour.noiseLayer2.angle,MonoBehaviour.noiseLayer2.color,MonoBehaviour.noiseLayer2.colorInfluence,MonoBehaviour.noiseLayer2.disable,MonoBehaviour.noiseLayer2.height,MonoBehaviour.noiseLayer2.offset,MonoBehaviour.noiseLayer2.skew,MonoBehaviour.noiseLayer2.solo,MonoBehaviour.noiseLayer2.texture,MonoBehaviour.noiseLayer2.texture_fileID,MonoBehaviour.noiseLayer2.texture_guid,MonoBehaviour.noiseLayer2.texture_path,MonoBehaviour.noiseLayer2.thickness,MonoBehaviour.noiseLayer2.tiling,MonoBehaviour.noiseLayer2.valueOffset,MonoBehaviour.noiseLayer2.valueScale,MonoBehaviour.noiseLayer3.angle,MonoBehaviour.noiseLayer3.color,MonoBehaviour.noiseLayer3.colorInfluence,MonoBehaviour.noiseLayer3.disable,MonoBehaviour.noiseLayer3.height,MonoBehaviour.noiseLayer3.offset,MonoBehaviour.noiseLayer3.skew,MonoBehaviour.noiseLayer3.solo,MonoBehaviour.noiseLayer3.texture,MonoBehaviour.noiseLayer3.texture_fileID,MonoBehaviour.noiseLayer3.texture_guid,MonoBehaviour.noiseLayer3.texture_path,MonoBehaviour.noiseLayer3.thickness,MonoBehaviour.noiseLayer3.tiling,MonoBehaviour.noiseLayer3.valueOffset,MonoBehaviour.noiseLayer3.valueScale,MonoBehaviour.noiseTexture0,MonoBehaviour.noiseTexture0_fileID,MonoBehaviour.noiseTexture0_guid,MonoBehaviour.noiseTexture0_path,MonoBehaviour.noiseTexture1,MonoBehaviour.noiseTexture1_fileID,MonoBehaviour.noiseTexture1_guid,MonoBehaviour.noiseTexture1_path,MonoBehaviour.noiseTexture2,MonoBehaviour.noiseTexture2_fileID,MonoBehaviour.noiseTexture2_guid,MonoBehaviour.noiseTexture2_path,MonoBehaviour.noiseTexture3,MonoBehaviour.noiseTexture3_fileID,MonoBehaviour.noiseTexture3_guid,MonoBehaviour.noiseTexture3_path,MonoBehaviour.occlusionByHeight,MonoBehaviour.patchSize,MonoBehaviour.proceduralShapeBlend,MonoBehaviour.radius,MonoBehaviour.scruffiness,MonoBehaviour.smoothness,MonoBehaviour.speed,MonoBehaviour.stemColor,MonoBehaviour.stemGenerate,MonoBehaviour.stemThicknessRatio,MonoBehaviour.strength,MonoBehaviour.texture,MonoBehaviour.textureUvLayout,MonoBehaviour.texture_fileID,MonoBehaviour.tipRounding,MonoBehaviour.twirl,MonoBehaviour.upperArc,MonoBehaviour.windIntensityScale,MonoBehaviour.windPivotOffset
Tgs_LightGusts,Assets/MonoBehaviour/Tgs_LightGusts.asset,SymmetryBreak.TastyGrassShader,c49ccffa26c9e0bf872e3f5fb6043e05,-737950118,,,,,,,,,,,,0,,,,,,,,,{fileID: 0},0,0,1,{fileID: 0},0,Tgs_LightGusts,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -737950118, guid: c49ccffa26c9e0bf872e3f5fb6043e05, type: 3}",-737950118,c49ccffa26c9e0bf872e3f5fb6043e05,Assets/Plugins/SymmetryBreak.TastyGrassShader.dll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,16.32,,,,0.1,,,,,,,,
TastyGrassShaderGlobalSettings,Assets/MonoBehaviour/TastyGrassShaderGlobalSettings.asset,SymmetryBreak.TastyGrassShader,c49ccffa26c9e0bf872e3f5fb6043e05,932770339,,,,,,,,{fileID: 0},0,,1,,,,,,10,1,,1,{fileID: 0},0,0,1,{fileID: 0},0,TastyGrassShaderGlobalSettings,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 932770339, guid: c49ccffa26c9e0bf872e3f5fb6043e05, type: 3}",932770339,c49ccffa26c9e0bf872e3f5fb6043e05,Assets/Plugins/SymmetryBreak.TastyGrassShader.dll,64,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soda_GroundZero,Assets/MonoBehaviour/Soda_GroundZero.asset,SymmetryBreak.TastyGrassShader,c49ccffa26c9e0bf872e3f5fb6043e05,-829831744,40,1,0,1,0,0.9,0.715,,,60,,,0,"{x: 0, y: 1, z: 0}",0.152,0,,,4,,{fileID: 0},0,0,1,{fileID: 0},0,Soda_GroundZero,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -829831744, guid: c49ccffa26c9e0bf872e3f5fb6043e05, type: 3}",-829831744,c49ccffa26c9e0bf872e3f5fb6043e05,Assets/Plugins/SymmetryBreak.TastyGrassShader.dll,,0.05,,"{x: 0.05, y: 0.1}","{r: 0.15245767, g: 0.26415092, b: 0.08597365, a: 1}","{x: 1, y: 1}",0,"{x: 0, y: 1}","{x: -0.34545976, y: -0.1476506}","{x: 0.030843161, y: 0.2483106}",0,"{fileID: 11700000, guid: 0816b42e22bd6964083cf7c7a24b7d49, type: 3}",11700000,0816b42e22bd6964083cf7c7a24b7d49,Assets/Texture3D/TGS_Noise_LargeSpots.png,"{x: 0.5, y: 1.5}",33.8,-0.03,3.27,"{x: 0, y: 0}","{r: 0.30305365, g: 0.41509432, b: 0.21342114, a: 1}","{x: -0.31899154, y: 0.41860467}",0,"{x: -1.4043344, y: -0.9747255}","{x: 0, y: 0}","{x: 0, y: 0.014653632}",0,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{x: 0, y: 0}",9.62,-0.27,3.63,"{x: 0.05, y: 0.2}","{r: 0.22286284, g: 0.2735849, b: 0.12775898, a: 1}","{x: -0.1123821, y: 0.79964906}",0,"{x: -0.33612192, y: 0.42010415}","{x: 0, y: 0}","{x: 0.21687746, y: 0.3571791}",0,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{x: 0.0007567853, y: 0.26197398}",15.16,-0.25,3,"{x: 0, y: 0}","{r: 0.39269212, g: 0.4811321, b: 0.24283554, a: 1}","{x: 0.3234673, y: 0.77801275}",0,"{x: 0, y: 0}","{x: 0, y: 0}","{x: 0, y: 0}",0,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{x: 0, y: 0}",10,0,1,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,0.545,,0.925,,0,0.151,,"{r: 0, g: 0, b: 0, a: 0}",0,0.01,,{fileID: 0},0,0,0.0929,0.0863,0.63,1,0
Soda_Grass_StormZone,Assets/MonoBehaviour/Soda_Grass_StormZone.asset,SymmetryBreak.TastyGrassShader,c49ccffa26c9e0bf872e3f5fb6043e05,-829831744,40,1,0,1,0,0.9,0.715,,,60,,,0,"{x: 0, y: 1, z: 0}",0.152,0,,,4,,{fileID: 0},0,0,1,{fileID: 0},0,Soda_Grass_StormZone,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -829831744, guid: c49ccffa26c9e0bf872e3f5fb6043e05, type: 3}",-829831744,c49ccffa26c9e0bf872e3f5fb6043e05,Assets/Plugins/SymmetryBreak.TastyGrassShader.dll,,0.05,,"{x: 0.05, y: 0.1}","{r: 1, g: 0.8999732, b: 0.6933962, a: 1}","{x: 1, y: 1}",0,"{x: 0, y: 1}","{x: -0.34545976, y: -0.1476506}","{x: 0.030843161, y: 0.2483106}",0,"{fileID: 11700000, guid: 0816b42e22bd6964083cf7c7a24b7d49, type: 3}",11700000,0816b42e22bd6964083cf7c7a24b7d49,Assets/Texture3D/TGS_Noise_LargeSpots.png,"{x: 0.5, y: 1.5}",33.8,-0.03,3.27,"{x: 0, y: 0}","{r: 0.6698113, g: 0.568122, b: 0.38861695, a: 1}","{x: -0.31899154, y: 0.41860467}",0,"{x: -1.4043344, y: -0.9747255}","{x: 0, y: 0}","{x: 0, y: 0.014653632}",0,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{x: 0, y: 0}",9.62,-0.27,3.63,"{x: 0.05, y: 0.2}","{r: 1, g: 0.8508414, b: 0.6933962, a: 1}","{x: -0.1123821, y: 0.79964906}",0,"{x: -0.33612192, y: 0.42010415}","{x: 0, y: 0}","{x: 0.21687746, y: 0.3571791}",0,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{x: 0.0007567853, y: 0.26197398}",15.16,-0.25,3,"{x: 0, y: 0}","{r: 0.48235294, g: 0.43318528, b: 0.24313726, a: 1}","{x: 0.3234673, y: 0.77801275}",0,"{x: 0, y: 0}","{x: 0, y: 0}","{x: 0, y: 0}",0,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{x: 0, y: 0}",10,0,1,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,0.545,,0.925,,0,0.151,,"{r: 0, g: 0, b: 0, a: 0}",0,0.01,,{fileID: 0},0,0,0.0929,0.0863,0.63,1,0
Soda_Terrain,Assets/MonoBehaviour/Soda_Terrain.asset,SymmetryBreak.TastyGrassShader,c49ccffa26c9e0bf872e3f5fb6043e05,-829831744,40,1,0,1,0,0.9,0.715,,,55,,,0,"{x: 0, y: 1, z: 0}",0.152,0,,,4,,{fileID: 0},0,0,1,{fileID: 0},0,Soda_Terrain,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -829831744, guid: c49ccffa26c9e0bf872e3f5fb6043e05, type: 3}",-829831744,c49ccffa26c9e0bf872e3f5fb6043e05,Assets/Plugins/SymmetryBreak.TastyGrassShader.dll,,0.05,,"{x: 0.05, y: 0.1}","{r: 0.197421, g: 0.3301887, b: 0.11681204, a: 1}","{x: 1, y: 1}",0,"{x: 0, y: 1}","{x: -0.34545976, y: -0.1476506}","{x: 0.030843161, y: 0.2483106}",0,"{fileID: 11700000, guid: 0816b42e22bd6964083cf7c7a24b7d49, type: 3}",11700000,0816b42e22bd6964083cf7c7a24b7d49,Assets/Texture3D/TGS_Noise_LargeSpots.png,"{x: 0.5, y: 1.5}",25,0.7,1.5,"{x: 0, y: 0}","{r: 0.30305365, g: 0.41509432, b: 0.21342114, a: 1}","{x: -0.31899154, y: 0.41860467}",0,"{x: -1.4043344, y: -0.9747255}","{x: 0, y: 0}","{x: 0, y: 0.014653632}",0,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{x: 0, y: 0}",9.62,-0.27,3.63,"{x: 0.05, y: 0.2}","{r: 0.33185318, g: 0.41509432, b: 0.17817728, a: 1}","{x: -0.1123821, y: 0.79964906}",0,"{x: -0.33612192, y: 0.42010415}","{x: 0, y: 0}","{x: 0.21687746, y: 0.3571791}",0,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{x: 0.0007567853, y: 0.26197398}",15.16,-0.25,3,"{x: 0, y: 0}","{r: 0.39269212, g: 0.4811321, b: 0.24283554, a: 1}","{x: 0.3234673, y: 0.77801275}",0,"{x: 0, y: 0}","{x: 0, y: 0}","{x: 0, y: 0}",0,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{x: 0, y: 0}",10,0,1,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,0.545,,0.925,,0,0.151,,"{r: 0, g: 0, b: 0, a: 0}",0,0.01,,{fileID: 0},0,0,0.0929,0.0863,0.63,1,0
TastyGrassShaderGlobalSettings_1,Assets/MonoBehaviour/TastyGrassShaderGlobalSettings_1.asset,SymmetryBreak.TastyGrassShader,c49ccffa26c9e0bf872e3f5fb6043e05,932770339,,,,,,,,{fileID: 0},0,,1,,,,,,10,1,,1,{fileID: 0},0,0,1,{fileID: 0},0,TastyGrassShaderGlobalSettings,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 932770339, guid: c49ccffa26c9e0bf872e3f5fb6043e05, type: 3}",932770339,c49ccffa26c9e0bf872e3f5fb6043e05,Assets/Plugins/SymmetryBreak.TastyGrassShader.dll,64,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soda_DemoChallenge_Yellow,Assets/MonoBehaviour/Soda_DemoChallenge_Yellow.asset,SymmetryBreak.TastyGrassShader,c49ccffa26c9e0bf872e3f5fb6043e05,-829831744,40,1,0,1,0,0.9,0.715,,,60,,,0,"{x: 0, y: 1, z: 0}",0.152,0,,,4,,{fileID: 0},0,0,1,{fileID: 0},0,Soda_DemoChallenge_Yellow,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -829831744, guid: c49ccffa26c9e0bf872e3f5fb6043e05, type: 3}",-829831744,c49ccffa26c9e0bf872e3f5fb6043e05,Assets/Plugins/SymmetryBreak.TastyGrassShader.dll,,0.05,,"{x: 0.05, y: 0.1}","{r: 0.2627451, g: 0.20844488, b: 0.086274505, a: 1}","{x: 1, y: 1}",0,"{x: 0, y: 1}","{x: -0.34545976, y: -0.1476506}","{x: 0.030843161, y: 0.2483106}",0,"{fileID: 11700000, guid: 0816b42e22bd6964083cf7c7a24b7d49, type: 3}",11700000,0816b42e22bd6964083cf7c7a24b7d49,Assets/Texture3D/TGS_Noise_LargeSpots.png,"{x: 0.5, y: 1.5}",33.8,-0.03,3.27,"{x: 0, y: 0}","{r: 0.4117391, g: 0.41568628, b: 0.21176471, a: 1}","{x: -0.31899154, y: 0.41860467}",0,"{x: -1.4043344, y: -0.9747255}","{x: 0, y: 0}","{x: 0, y: 0.014653632}",0,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{x: 0, y: 0}",9.62,-0.27,3.63,"{x: 0.05, y: 0.2}","{r: 0.27450982, g: 0.2039334, b: 0.12941177, a: 1}","{x: -0.1123821, y: 0.79964906}",0,"{x: -0.33612192, y: 0.42010415}","{x: 0, y: 0}","{x: 0.21687746, y: 0.3571791}",0,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{x: 0.0007567853, y: 0.26197398}",15.16,-0.25,3,"{x: 0, y: 0}","{r: 0.48235294, g: 0.43318528, b: 0.24313726, a: 1}","{x: 0.3234673, y: 0.77801275}",0,"{x: 0, y: 0}","{x: 0, y: 0}","{x: 0, y: 0}",0,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{x: 0, y: 0}",10,0,1,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,0.545,,0.925,,0,0.151,,"{r: 0, g: 0, b: 0, a: 0}",0,0.01,,{fileID: 0},0,0,0.0929,0.0863,0.63,1,0
Soda_HiddenWarehouse_Jeff,Assets/MonoBehaviour/Soda_HiddenWarehouse_Jeff.asset,SymmetryBreak.TastyGrassShader,c49ccffa26c9e0bf872e3f5fb6043e05,-829831744,40,1,0,1,0,0.9,0.715,,,60,,,0,"{x: 0, y: 1, z: 0}",0.152,0,,,4,,{fileID: 0},0,0,1,{fileID: 0},0,Soda_HiddenWarehouse_Jeff,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -829831744, guid: c49ccffa26c9e0bf872e3f5fb6043e05, type: 3}",-829831744,c49ccffa26c9e0bf872e3f5fb6043e05,Assets/Plugins/SymmetryBreak.TastyGrassShader.dll,,0.05,,"{x: 0.05, y: 0.1}","{r: 0.15245767, g: 0.26415092, b: 0.08597365, a: 1}","{x: 1, y: 1}",0,"{x: 0, y: 1}","{x: -0.34545976, y: -0.1476506}","{x: 0.030843161, y: 0.2483106}",0,"{fileID: 11700000, guid: 0816b42e22bd6964083cf7c7a24b7d49, type: 3}",11700000,0816b42e22bd6964083cf7c7a24b7d49,Assets/Texture3D/TGS_Noise_LargeSpots.png,"{x: 0.5, y: 1.5}",33.8,-0.03,3.27,"{x: 0, y: 0}","{r: 0.51110375, g: 0.67058825, b: 0.3019608, a: 1}","{x: 0.4, y: 0.8}",0,"{x: 0.1, y: 0.5}","{x: 0, y: 0}","{x: 0.03, y: 0.2}",0,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{x: 0.5, y: 1}",9.62,-0.27,3.63,"{x: 0.05, y: 0.2}","{r: 0.22286284, g: 0.2735849, b: 0.12775898, a: 1}","{x: -0.1123821, y: 0.79964906}",0,"{x: -0.33612192, y: 0.42010415}","{x: 0, y: 0}","{x: 0.21687746, y: 0.3571791}",0,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{x: 0.0007567853, y: 0.26197398}",15.16,-0.25,3,"{x: 0, y: 0}","{r: 0.39269212, g: 0.4811321, b: 0.24283554, a: 1}","{x: 0.3234673, y: 0.77801275}",0,"{x: 0, y: 0}","{x: 0, y: 0}","{x: 0, y: 0}",0,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{x: 0, y: 0}",10,0,1,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,"{fileID: 11700000, guid: 34426e6f99fb0e046a42ca20a645e3f4, type: 3}",11700000,34426e6f99fb0e046a42ca20a645e3f4,Assets/Texture3D/TGS_Noise_SmallMush.png,"{fileID: 11700000, guid: 01542c9a1cb8e7c48a9f836c88ddb1f0, type: 3}",11700000,01542c9a1cb8e7c48a9f836c88ddb1f0,Assets/Texture3D/TGS_Noise_TinySpecks.png,0.545,,0.925,,0,0.151,,"{r: 0, g: 0, b: 0, a: 0}",0,0.01,,{fileID: 0},0,0,0.0929,0.0863,0.63,1,0
TastyGrassShaderGlobalSettings_0,Assets/MonoBehaviour/TastyGrassShaderGlobalSettings_0.asset,SymmetryBreak.TastyGrassShader,c49ccffa26c9e0bf872e3f5fb6043e05,932770339,,,,,,,,{fileID: 0},0,,1,,,,,,0.5,4,,1,{fileID: 0},0,0,1,{fileID: 0},0,TastyGrassShaderGlobalSettings,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 932770339, guid: c49ccffa26c9e0bf872e3f5fb6043e05, type: 3}",932770339,c49ccffa26c9e0bf872e3f5fb6043e05,Assets/Plugins/SymmetryBreak.TastyGrassShader.dll,64,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_CharacterModel_Custom_Enemy _Boss_Storm5,Assets/GameObject/0_CharacterModel_Custom_Enemy _Boss_Storm5.prefab,SymmetryBreak.TastyGrassShader,c49ccffa26c9e0bf872e3f5fb6043e05,-36304561,,,,,,,,,,,,,,,,,,,,,{fileID: 0},0,0,1,{fileID: 1969407315575752},1969407315575752,,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -36304561, guid: c49ccffa26c9e0bf872e3f5fb6043e05, type: 3}",-36304561,c49ccffa26c9e0bf872e3f5fb6043e05,Assets/Plugins/SymmetryBreak.TastyGrassShader.dll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,
