_ObjectName,_SourceFile,_Script,_ScriptGUID,_ScriptFileID,MonoBehaviour.color,MonoBehaviour.m_CorrespondingSourceObject,MonoBehaviour.m_CorrespondingSourceObject_fileID,MonoBehaviour.m_EditorHideFlags,MonoBehaviour.m_Enabled,MonoBehaviour.m_GameObject,MonoBehaviour.m_GameObject_fileID,MonoBehaviour.m_Name,MonoBehaviour.m_ObjectHideFlags,MonoBehaviour.m_PrefabAsset,MonoBehaviour.m_PrefabAsset_fileID,MonoBehaviour.m_PrefabInstance,MonoBehaviour.m_PrefabInstance_fileID,MonoBehaviour.m_Script,MonoBehaviour.m_Script_fileID,MonoBehaviour.m_Script_guid,MonoBehaviour.m_Script_path,MonoBehaviour.priority,MonoBehaviour.show,MonoBehaviour.showDescription
DogTag,Assets/MonoBehaviour/DogTag.asset,TeamSoda.Duckov.Utilities,26649cd76f3316af2e6855cbbdd37c33,2074923487,"{r: 0, g: 0, b: 0, a: 1}",{fileID: 0},0,0,1,{fileID: 0},0,DogTag,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 2074923487, guid: 26649cd76f3316af2e6855cbbdd37c33, type: 3}",2074923487,26649cd76f3316af2e6855cbbdd37c33,Assets/Plugins/TeamSoda.Duckov.Utilities.dll,0,1,0
GunType_PST,Assets/MonoBehaviour/GunType_PST.asset,TeamSoda.Duckov.Utilities,26649cd76f3316af2e6855cbbdd37c33,2074923487,"{r: 0, g: 0, b: 0, a: 1}",{fileID: 0},0,0,1,{fileID: 0},0,GunType_PST,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 2074923487, guid: 26649cd76f3316af2e6855cbbdd37c33, type: 3}",2074923487,26649cd76f3316af2e6855cbbdd37c33,Assets/Plugins/TeamSoda.Duckov.Utilities.dll,0,1,0
Sticky,Assets/MonoBehaviour/Sticky.asset,TeamSoda.Duckov.Utilities,26649cd76f3316af2e6855cbbdd37c33,2074923487,"{r: 0.9725491, g: 0.33333334, b: 0.40000004, a: 1}",{fileID: 0},0,0,1,{fileID: 0},0,Sticky,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 2074923487, guid: 26649cd76f3316af2e6855cbbdd37c33, type: 3}",2074923487,26649cd76f3316af2e6855cbbdd37c33,Assets/Plugins/TeamSoda.Duckov.Utilities.dll,0,1,1
Quest,Assets/MonoBehaviour/Quest.asset,TeamSoda.Duckov.Utilities,26649cd76f3316af2e6855cbbdd37c33,2074923487,"{r: 0, g: 0, b: 0, a: 1}",{fileID: 0},0,0,1,{fileID: 0},0,Quest,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 2074923487, guid: 26649cd76f3316af2e6855cbbdd37c33, type: 3}",2074923487,26649cd76f3316af2e6855cbbdd37c33,Assets/Plugins/TeamSoda.Duckov.Utilities.dll,0,0,0
MiniGame,Assets/MonoBehaviour/MiniGame.asset,TeamSoda.Duckov.Utilities,26649cd76f3316af2e6855cbbdd37c33,2074923487,"{r: 0, g: 0, b: 0, a: 1}",{fileID: 0},0,0,1,{fileID: 0},0,MiniGame,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 2074923487, guid: 26649cd76f3316af2e6855cbbdd37c33, type: 3}",2074923487,26649cd76f3316af2e6855cbbdd37c33,Assets/Plugins/TeamSoda.Duckov.Utilities.dll,0,0,0
Element,Assets/MonoBehaviour/Element.asset,TeamSoda.Duckov.Utilities,26649cd76f3316af2e6855cbbdd37c33,2074923487,"{r: 0, g: 0, b: 0, a: 1}",{fileID: 0},0,0,1,{fileID: 0},0,Element,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 2074923487, guid: 26649cd76f3316af2e6855cbbdd37c33, type: 3}",2074923487,26649cd76f3316af2e6855cbbdd37c33,Assets/Plugins/TeamSoda.Duckov.Utilities.dll,0,0,0
FcController,Assets/MonoBehaviour/FcController.asset,TeamSoda.Duckov.Utilities,26649cd76f3316af2e6855cbbdd37c33,2074923487,"{r: 0, g: 0, b: 0, a: 1}",{fileID: 0},0,0,1,{fileID: 0},0,FcController,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 2074923487, guid: 26649cd76f3316af2e6855cbbdd37c33, type: 3}",2074923487,26649cd76f3316af2e6855cbbdd37c33,Assets/Plugins/TeamSoda.Duckov.Utilities.dll,0,0,0
MeleeWeapon,Assets/MonoBehaviour/MeleeWeapon.asset,TeamSoda.Duckov.Utilities,26649cd76f3316af2e6855cbbdd37c33,2074923487,"{r: 0, g: 0, b: 0, a: 1}",{fileID: 0},0,0,1,{fileID: 0},0,MeleeWeapon,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 2074923487, guid: 26649cd76f3316af2e6855cbbdd37c33, type: 3}",2074923487,26649cd76f3316af2e6855cbbdd37c33,Assets/Plugins/TeamSoda.Duckov.Utilities.dll,0,1,0
GunType_SMG,Assets/MonoBehaviour/GunType_SMG.asset,TeamSoda.Duckov.Utilities,26649cd76f3316af2e6855cbbdd37c33,2074923487,"{r: 0, g: 0, b: 0, a: 1}",{fileID: 0},0,0,1,{fileID: 0},0,GunType_SMG,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 2074923487, guid: 26649cd76f3316af2e6855cbbdd37c33, type: 3}",2074923487,26649cd76f3316af2e6855cbbdd37c33,Assets/Plugins/TeamSoda.Duckov.Utilities.dll,0,1,0
Special,Assets/MonoBehaviour/Special.asset,TeamSoda.Duckov.Utilities,26649cd76f3316af2e6855cbbdd37c33,2074923487,"{r: 0, g: 0, b: 0, a: 1}",{fileID: 0},0,0,1,{fileID: 0},0,Special,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 2074923487, guid: 26649cd76f3316af2e6855cbbdd37c33, type: 3}",2074923487,26649cd76f3316af2e6855cbbdd37c33,Assets/Plugins/TeamSoda.Duckov.Utilities.dll,0,1,0
