typeID,prefabName,displayNameKey,category,nameEN,nameZH,descEN,descZH,maxStackCount,stackable,value,quality,displayQuality,weight,order,soundKey,iconGUID,tags,tagKeys,tagsEN,tagsZH,variablesCount,constantsCount,agentsCount,effectsCount,inventory,usageUtilities,slots,itemGraphic,prefab
0,Character,Item_Character,Character,Body,躯壳,The\ vessel\ of\ the\ soul\.,灵魂的载体。,1,False,0,999,0,0.0,0,,c101f72254237e94cabbdb01787da4e3,['f7850e806481f944e9d352d5f81831d6'; '4b8ac739d2b34b947acd530c37061e0a'],['Tag_Character'; 'Tag_DestroyOnLootBox'],['Character'; 'Invisible to Players'],['角色'; '玩家不可见'],0,0,1,0,True,True,True,True,Assets/GameObject/Character_0.prefab
1,0_MeleeWeapon_Template,Item_0_MeleeWeapon_Template,0,Butcher Knife,切肉刀,A\ rugged\ knife\.\ Not\ exactly\ sharp\.,看起来很粗犷的刀，不是很锋利。,1,False,17501,9,0,3.0,0,,0dcfb629ad2d2af4581a6086ddb1d112,['cdaec450420d4c443b15a384fc287a02'; 'f6017bb1526524f419dac91362406baa'; '3eda4209113db454fa6569a24e4c2e91'],['Tag_Weapon'; 'Tag_MeleeWeapon'; 'Tag_DontDropOnDeadInSlot'],['Weapon'; 'Melee Weapon'; 'Bound Equipment'],['武器'; '近战武器'; '绑定装备'],0,0,1,0,True,True,True,True,Assets/GameObject/0_MeleeWeapon_Template.prefab
2,ArmorLV3,Item_ArmorLV3,ArmorLV3,Lv.3 Body Armor,三级防弹衣,A Lv.3 body armor that could save your life when it counts.,三级防弹衣，在某些时候能够保住你的小命。,1,False,1775,3,0,3.57,34,,39471e89268240847b2a60a0ff7501b9,['140e0ffe98d9f294f844300eed527777'; 'df4582ee1d2966f4e9231575c408b410'; '94118f515b747844c982baf721457f16'; 'a5d0669b3d2405f4ea731ef3ce15b8fa'],['Tag_Armor'; 'Tag_Equipment'; 'Tag_Western'; 'Tag_Repairable'],['Body'; 'Equipment'; 'Western'; 'Repairable'],['身体'; '装备'; 'Western'; '可维修'],0,0,1,0,True,True,True,True,Assets/GameObject/ArmorLV3.prefab
3,Gem,Item_Gem,Gem,Golden Star,金色五角星,A golden star made of mysterious substance. Increases melee weapon DMG.,神秘物质构成的金色五角星。增加近战武器攻击力。,1,False,4587,4,0,0.19,4,,ced5970c44ef5d34a86e3b52085c108a,['87fd48a0b9f64984bab45afc3d0c728c'; '981a91f4f2c983a4a9879327b5524a98'],['Tag_Gem'; 'Tag_Luxury'],['Gem'; 'Luxury Items'],['宝石'; '奢侈品'],0,0,0,0,True,True,True,True,Assets/GameObject/Gem.prefab
4,1_Rifle-A_template,Item_1_Rifle-A_template,1,GunTemplate,GunTemplate,\?,\?,1,False,37500,9,0,3.0,0,,85fe624d63597d44f9b371d0cc4b1757,['cdaec450420d4c443b15a384fc287a02'; '55f0ec66dc0a74940aa9c4132ea194ee'],['Tag_Weapon'; 'Tag_Gun'],['Weapon'; 'Firearm'],['武器'; '枪械'],0,0,1,0,True,True,True,True,Assets/GameObject/1_Rifle-A_template.prefab
8,BatteryR6,Item_BatteryR6,BatteryR6,R6 Battery,R6电池,A battery widely used in various electrical appliances.,在各种用电器中被广泛使用的电池。,5,True,194,1,0,0.08,1,,77e48c0414323344f83ee813ef1c8e63,['be00b67f42cd0e24093950d7e92a4932'; '8c5ea27b01d5f7647948fe4eb8358ca8'],['Tag_Electric'; 'Tag_Bait'],['Electronics'; 'Bait'],['电子产品'; '鱼饵'],0,0,0,0,True,True,True,True,Assets/GameObject/BatteryR6.prefab
10,Bandage,Item_Bandage,Bandage,Bandage,止血绷带,Stops bleeding and restores a slight amount of HP.,可以止血;并回复微少生命值。,3,True,80,1,0,0.05,1,,834a15bc8d63f814ebfcc7b38187805c,['180b6bde56f739545a8bd22200861535'; 'a1b5f688622a30c4b80bf5c8b5da80cd'],['Tag_Medic'; 'Tag_Healing'],['Medical Supply'; 'Heal'],['医疗用品'; '治疗'],0,0,0,0,True,True,True,True,Assets/GameObject/Bandage.prefab
11,BatteryPP3,Item_BatteryPP3,BatteryPP3,PP3 Battery,PP3电池,Commonly used in smoke detectors; remote control toys; and as a backup battery for clocks.,通常用于烟雾探测器、遥控玩具发射器以及作为闹钟的后备电池。,3,True,323,2,0,0.12,2,,bcf2672c316e17f4cb981f00dc993f7b,['be00b67f42cd0e24093950d7e92a4932'],['Tag_Electric'],['Electronics'],['电子产品'],0,0,0,0,True,True,True,True,Assets/GameObject/BatteryPP3.prefab
12,BeanCan,Item_BeanCan,BeanCan,Canned Baked Beans,焗豆罐头,A can of baked beans.,焗豆罐头。,3,True,102,2,0,0.39,2,,fc025fc5230259146a24c780b6a8dec7,['75d52ea080644714ab5c4f48a6ea57c8'],['Tag_Food'],['Food'],['食物'],0,0,0,0,True,True,True,True,Assets/GameObject/BeanCan.prefab
13,Biscuit,Item_Biscuit,Biscuit,Soda Crackers,苏打饼干,A stack of soda crackers.,一摞苏打饼干。,3,True,51,1,0,0.05,1,,65320753a6cfe564a98f458dca7ac971,['75d52ea080644714ab5c4f48a6ea57c8'],['Tag_Food'],['Food'],['食物'],0,0,0,0,True,True,True,True,Assets/GameObject/Biscuit.prefab
