goName,kind,itemTypeID,itemKeyOrName,displayNameEN,displayNameZH,scenePath,sceneDir,worldX,worldY,worldZ,sceneIds
LootBox_Formula_Formula_FirstAidKit_M,formula,738,Item_Formula_FirstAidKit_M,Recipe: First Aid Kit,配方：急救箱,Assets/Scenes/Level_DemoChallenge/Level_DemoChallenge_1.unity,Assets/Scenes/Level_DemoChallenge,451.39,0.0,285.09,Level_DemoChallenge_1
LootBox_Formula_BP_PM,formula,,Item_BP_PM,Blueprint: PM,蓝图：PM,Assets/Scenes/Level_DemoChallenge/Level_DemoChallenge_1.unity,Assets/Scenes/Level_DemoChallenge,351.99,-0.0054807663,122.41,Level_DemoChallenge_1
LootBox_Formula_BP_GPU_Potato,formula,,Item_BP_GPU_Potato,Blueprint: Potato Graphics Card,蓝图：土豆显卡,Assets/Scenes/Level_DemoChallenge/Level_DemoChallenge_1.unity,Assets/Scenes/Level_DemoChallenge,504.17,-0.044,164.27,Level_DemoChallenge_1
LootBox_Formula_BP_TOZ106,formula,,Item_BP_TOZ106,Blueprint: TOZ-106,蓝图：TOZ-106,Assets/Scenes/Level_DemoChallenge/Level_DemoChallenge_1.unity,Assets/Scenes/Level_DemoChallenge,210.41,24.79,288.94,Level_DemoChallenge_1
LootBox_Formula_Formula_WD40,formula,378,Item_Formula_WD40,Recipe: MD40,配方：MD40,Assets/Scenes/Level_DemoChallenge/Level_DemoChallenge_1.unity,Assets/Scenes/Level_DemoChallenge,203.51,-0.039,150.92,Level_DemoChallenge_1
LootBox_Formula_Formula_Cable,formula,383,Item_Formula_Cable,Recipe: Power Cord,配方：电源线,Assets/Scenes/Level_DemoChallenge/Level_DemoChallenge_1.unity,Assets/Scenes/Level_DemoChallenge,475.307,0.003,244.639,Level_DemoChallenge_1
LootBox_Formula_BP_HAND,formula,,Item_BP_HAND,Blueprint: Homemade Shotgun,蓝图：土制猎枪,Assets/Scenes/Level_DemoChallenge/Level_DemoChallenge_1.unity,Assets/Scenes/Level_DemoChallenge,281.72,-0.015,254.35,Level_DemoChallenge_1
LootBox_Formula_BP_ArrowExplosion,formula,,Item_BP_ArrowExplosion,Blueprint: Explosive Arrow,蓝图：爆炸箭,Assets/Scenes/Level_DemoChallenge/Level_DemoChallenge_1.unity,Assets/Scenes/Level_DemoChallenge,437.283,3.884,201.184,Level_DemoChallenge_1
LootBox_Formula_Formula_Wrench03,formula,382,Item_Formula_Wrench03,Recipe: Crowbar,配方：撬棍,Assets/Scenes/Level_DemoChallenge/Level_DemoChallenge_1.unity,Assets/Scenes/Level_DemoChallenge,332.67,14.98,227.65,Level_DemoChallenge_1
LootBox_Formula_BP_TOZ66,formula,,Item_BP_TOZ66,Blueprint: TOZ-66,蓝图：TOZ-66,Assets/Scenes/Level_DemoChallenge/Level_DemoChallenge_1.unity,Assets/Scenes/Level_DemoChallenge,300.03,-7.999,159.7,Level_DemoChallenge_1
LootBox_Formula_Formula_Trap,formula,377,Item_Formula_Trap,Recipe:\ Animal\ Trap,配方：捕兽夹,Assets/Scenes/Level_DemoChallenge/Level_DemoChallenge_1.unity,Assets/Scenes/Level_DemoChallenge,505.615,-0.018,224.909,Level_DemoChallenge_1
LootBox_Formula_Formula_CircuitBoard,formula,387,Item_Formula_CircuitBoard,Recipe: Circuit Board,配方：电路板,Assets/Scenes/Level_DemoChallenge/Level_DemoChallenge_1.unity,Assets/Scenes/Level_DemoChallenge,334.619,0.36,280.056,Level_DemoChallenge_1
LootBox_Formula_BP_TOZ106,formula,,Item_BP_TOZ106,Blueprint: TOZ-106,蓝图：TOZ-106,Assets/Scenes/Level_GroundZero/Level_GroundZero_1.unity,Assets/Scenes/Level_GroundZero,210.41,24.79,288.94,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_Formula_Cable,formula,383,Item_Formula_Cable,Recipe: Power Cord,配方：电源线,Assets/Scenes/Level_GroundZero/Level_GroundZero_1.unity,Assets/Scenes/Level_GroundZero,475.307,0.003,244.639,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_BP_ArrowExplosion,formula,,Item_BP_ArrowExplosion,Blueprint: Explosive Arrow,蓝图：爆炸箭,Assets/Scenes/Level_GroundZero/Level_GroundZero_1.unity,Assets/Scenes/Level_GroundZero,437.283,3.884,201.184,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_BP_HAND,formula,,Item_BP_HAND,Blueprint: Homemade Shotgun,蓝图：土制猎枪,Assets/Scenes/Level_GroundZero/Level_GroundZero_1.unity,Assets/Scenes/Level_GroundZero,281.72,-0.015,254.35,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_Formula_WD40,formula,378,Item_Formula_WD40,Recipe: MD40,配方：MD40,Assets/Scenes/Level_GroundZero/Level_GroundZero_1.unity,Assets/Scenes/Level_GroundZero,203.51,-0.039,150.92,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_Formula_Wrench03,formula,382,Item_Formula_Wrench03,Recipe: Crowbar,配方：撬棍,Assets/Scenes/Level_GroundZero/Level_GroundZero_1.unity,Assets/Scenes/Level_GroundZero,332.67,14.98,227.65,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_Formula_Jinitaimei,formula,396,Item_Formula_Jinitaimei,Recipe: Black Potion,配方：黑色药剂,Assets/Scenes/Level_GroundZero/Level_GroundZero_1.unity,Assets/Scenes/Level_GroundZero,476.6065372482314,-0.010046129999990328,197.93463288412713,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_BP_GPU_Potato,formula,,Item_BP_GPU_Potato,Blueprint: Potato Graphics Card,蓝图：土豆显卡,Assets/Scenes/Level_GroundZero/Level_GroundZero_1.unity,Assets/Scenes/Level_GroundZero,504.17,-0.044,164.27,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_Formula_FirstAidKit_M,formula,738,Item_Formula_FirstAidKit_M,Recipe: First Aid Kit,配方：急救箱,Assets/Scenes/Level_GroundZero/Level_GroundZero_1.unity,Assets/Scenes/Level_GroundZero,451.39,0.0,285.09,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_BP_TOZ66,formula,,Item_BP_TOZ66,Blueprint: TOZ-66,蓝图：TOZ-66,Assets/Scenes/Level_GroundZero/Level_GroundZero_1.unity,Assets/Scenes/Level_GroundZero,300.03,-7.999,159.7,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_BP_PM,formula,,Item_BP_PM,Blueprint: PM,蓝图：PM,Assets/Scenes/Level_GroundZero/Level_GroundZero_1.unity,Assets/Scenes/Level_GroundZero,328.59,-0.0054807663,78.07,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_Formula_Trap,formula,377,Item_Formula_Trap,Recipe:\ Animal\ Trap,配方：捕兽夹,Assets/Scenes/Level_GroundZero/Level_GroundZero_1.unity,Assets/Scenes/Level_GroundZero,505.615,-0.018,224.909,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_Formula_CircuitBoard,formula,387,Item_Formula_CircuitBoard,Recipe: Circuit Board,配方：电路板,Assets/Scenes/Level_GroundZero/Level_GroundZero_1.unity,Assets/Scenes/Level_GroundZero,334.619,0.36,280.056,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_BP_Bullet_Energy_S,formula,,Item_BP_Bullet_Energy_S,Blueprint: Small Energy Ammo,蓝图：小型能量弹药,Assets/Scenes/Level_GroundZero/Level_GroundZero_Cave.unity,Assets/Scenes/Level_GroundZero,582.83,-0.0018312931,561.6972,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_BP_CubeGun,formula,,Item_BP_CubeGun,Blueprint: Cube Gun,蓝图：方块枪,Assets/Scenes/Level_GroundZero/Level_GroundZero_Cave.unity,Assets/Scenes/Level_GroundZero,581.43,-0.0018312931,561.6972,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_BP_AR_AK47_Fire,formula,,BP_AR_AK47_Fire,Blueprint: Flaming AK-47,蓝图：带火AK47,Assets/Scenes/Level_GroundZero/Level_GroundZero_Cave.unity,Assets/Scenes/Level_GroundZero,582.139995,-0.00183099999999925,562.82002,Level_GroundZero_1;Level_GroundZero_Cave
LootBox_Formula_Formula_Trap,formula,377,Item_Formula_Trap,Recipe:\ Animal\ Trap,配方：捕兽夹,Assets/Scenes/Level_Guide/Level_Guide_1.unity,Assets/Scenes/Level_Guide,505.615,-0.018,224.909,Level_Guide_1;Level_Guide_2
LootBox_Formula_Formula_WD40,formula,378,Item_Formula_WD40,Recipe: MD40,配方：MD40,Assets/Scenes/Level_Guide/Level_Guide_1.unity,Assets/Scenes/Level_Guide,203.51,-0.039,150.92,Level_Guide_1;Level_Guide_2
LootBox_Formula_Formula_Wrench03,formula,382,Item_Formula_Wrench03,Recipe: Crowbar,配方：撬棍,Assets/Scenes/Level_Guide/Level_Guide_1.unity,Assets/Scenes/Level_Guide,332.67,14.98,227.65,Level_Guide_1;Level_Guide_2
LootBox_Formula_BP_AK74U,formula,,Item_BP_AK74U,Blueprint: AK-74U,蓝图：AK-74U,Assets/Scenes/Level_Guide/Level_Guide_1.unity,Assets/Scenes/Level_Guide,300.03,-7.999,159.7,Level_Guide_1;Level_Guide_2
LootBox_Formula_BP_HAND,formula,,Item_BP_HAND,Blueprint: Homemade Shotgun,蓝图：土制猎枪,Assets/Scenes/Level_Guide/Level_Guide_1.unity,Assets/Scenes/Level_Guide,281.72,-0.015,254.35,Level_Guide_1;Level_Guide_2
LootBox_Formula_Formula_Cable,formula,383,Item_Formula_Cable,Recipe: Power Cord,配方：电源线,Assets/Scenes/Level_Guide/Level_Guide_1.unity,Assets/Scenes/Level_Guide,475.307,0.003,244.639,Level_Guide_1;Level_Guide_2
LootBox_Formula_BP_MP155,formula,,Item_BP_MP155,Blueprint: MP-155,蓝图：MP-155,Assets/Scenes/Level_Guide/Level_Guide_1.unity,Assets/Scenes/Level_Guide,219.62,24.79,291.58,Level_Guide_1;Level_Guide_2
LootBox_Formula_BP_Bullet_ARR_Explosion,formula,,Item_Bullet_ARR_Explosion,Explosive Arrow,爆炸矢,Assets/Scenes/Level_Guide/Level_Guide_1.unity,Assets/Scenes/Level_Guide,437.283,3.884,201.184,Level_Guide_1;Level_Guide_2
LootBox_Formula_Formula_CircuitBoard,formula,387,Item_Formula_CircuitBoard,Recipe: Circuit Board,配方：电路板,Assets/Scenes/Level_Guide/Level_Guide_1.unity,Assets/Scenes/Level_Guide,334.619,0.36,280.056,Level_Guide_1;Level_Guide_2
LootBox_Formula_BP_GPU_Potato,formula,,Item_BP_GPU_Potato,Blueprint: Potato Graphics Card,蓝图：土豆显卡,Assets/Scenes/Level_Guide/Level_Guide_1.unity,Assets/Scenes/Level_Guide,504.17,-0.044,164.27,Level_Guide_1;Level_Guide_2
LootBox_Formula_BP_GLick,formula,,Item_BP_Glick,Blueprint: Glick,蓝图：Glick,Assets/Scenes/Level_Guide/Level_Guide_1.unity,Assets/Scenes/Level_Guide,352.51,-0.015,122.33,Level_Guide_1;Level_Guide_2
LootBox_Formula_Formula_Trap,formula,377,Item_Formula_Trap,Recipe:\ Animal\ Trap,配方：捕兽夹,Assets/Scenes/Level_Guide/Level_Guide_2.unity,Assets/Scenes/Level_Guide,745.0417600000001,-0.018,211.339496,Level_Guide_1;Level_Guide_2
LootBox_Formula_Formula_WD40,formula,378,Item_Formula_WD40,Recipe: MD40,配方：MD40,Assets/Scenes/Level_Guide/Level_Guide_2.unity,Assets/Scenes/Level_Guide,442.93676,-0.039,137.350496,Level_Guide_1;Level_Guide_2
LootBox_Formula_Formula_Wrench03,formula,382,Item_Formula_Wrench03,Recipe: Crowbar,配方：撬棍,Assets/Scenes/Level_Guide/Level_Guide_2.unity,Assets/Scenes/Level_Guide,572.09676,14.98,214.080496,Level_Guide_1;Level_Guide_2
LootBox_Formula_BP_AK74U,formula,,Item_BP_AK74U,Blueprint: AK-74U,蓝图：AK-74U,Assets/Scenes/Level_Guide/Level_Guide_2.unity,Assets/Scenes/Level_Guide,539.45676,-7.999,146.130496,Level_Guide_1;Level_Guide_2
LootBox_Formula_BP_HAND,formula,,Item_BP_HAND,Blueprint: Homemade Shotgun,蓝图：土制猎枪,Assets/Scenes/Level_Guide/Level_Guide_2.unity,Assets/Scenes/Level_Guide,521.1467600000001,-0.015,240.780496,Level_Guide_1;Level_Guide_2
LootBox_Formula_Formula_Cable,formula,383,Item_Formula_Cable,Recipe: Power Cord,配方：电源线,Assets/Scenes/Level_Guide/Level_Guide_2.unity,Assets/Scenes/Level_Guide,714.7337600000001,0.003,231.06949600000002,Level_Guide_1;Level_Guide_2
LootBox_Formula_BP_MP155,formula,,Item_BP_MP155,Blueprint: MP-155,蓝图：MP-155,Assets/Scenes/Level_Guide/Level_Guide_2.unity,Assets/Scenes/Level_Guide,459.04676,24.79,278.010496,Level_Guide_1;Level_Guide_2
LootBox_Formula_BP_Bullet_ARR_Explosion,formula,,Item_Bullet_ARR_Explosion,Explosive Arrow,爆炸矢,Assets/Scenes/Level_Guide/Level_Guide_2.unity,Assets/Scenes/Level_Guide,676.70976,3.884,187.614496,Level_Guide_1;Level_Guide_2
LootBox_Formula_Formula_CircuitBoard,formula,387,Item_Formula_CircuitBoard,Recipe: Circuit Board,配方：电路板,Assets/Scenes/Level_Guide/Level_Guide_2.unity,Assets/Scenes/Level_Guide,574.04576,0.36,266.486496,Level_Guide_1;Level_Guide_2
LootBox_Formula_BP_GPU_Potato,formula,,Item_BP_GPU_Potato,Blueprint: Potato Graphics Card,蓝图：土豆显卡,Assets/Scenes/Level_Guide/Level_Guide_2.unity,Assets/Scenes/Level_Guide,743.59676,-0.044,150.70049600000002,Level_Guide_1;Level_Guide_2
LootBox_Formula_BP_GLick,formula,,Item_BP_Glick,Blueprint: Glick,蓝图：Glick,Assets/Scenes/Level_Guide/Level_Guide_2.unity,Assets/Scenes/Level_Guide,591.93676,-0.015,108.760496,Level_Guide_1;Level_Guide_2
LootBox_Formula_Formula_Injection_ElecResist,formula,410,Item_Formula_Injection_ElecResist,Recipe: Electric RES Injector,配方：抗电性针,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,294.438,0.909,206.382,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_BP_MMG,formula,,Item_BP_MMG,Blueprint: MMG,蓝图：MMG,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,58.375,0.643,225.297,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_BP_ADAR,formula,,Item_BP_ADAR,Blueprint: ADAR 2-15,蓝图：ADAR 2-15,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,324.467,1.188,240.894,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_BP_GasMask,formula,,Item_BP_GasMask,Blueprint: Gas Mask,蓝图：防毒面具,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,369.477,0.003,308.961,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_Formula_Injection_PainResist,formula,411,Item_Formula_Injection_PainResist,Recipe: Painkiller,配方：镇痛剂,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,403.699,0.917,175.058,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_BP_UAK45,formula,,Item_BP_UAK45,Blueprint: UAK-45,蓝图：UAK-45,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,294.39,0.294,213.53,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_BP_ADAR,formula,,Item_BP_ADAR,Blueprint: ADAR 2-15,蓝图：ADAR 2-15,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,324.467,1.188,240.894,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_BP_GasMask,formula,,Item_BP_GasMask,Blueprint: Gas Mask,蓝图：防毒面具,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,369.477,0.003,308.961,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_Formula_Injection_PainResist,formula,411,Item_Formula_Injection_PainResist,Recipe: Painkiller,配方：镇痛剂,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,403.699,0.917,175.058,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_BP_MMG,formula,,Item_BP_MMG,Blueprint: MMG,蓝图：MMG,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,58.375,0.643,225.297,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_Formula_Injection_ElecResist,formula,410,Item_Formula_Injection_ElecResist,Recipe: Electric RES Injector,配方：抗电性针,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,294.438,0.909,206.382,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_BP_UAK45,formula,,Item_BP_UAK45,Blueprint: UAK-45,蓝图：UAK-45,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,294.39,0.294,213.53,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_Formula_UVBulb2,formula,842,Item_Formula_UVBulb2,Recipe: UV Light,配方：紫外灯,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,140.61,-0.026,318.67,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_Formula_Drum4,formula,846,Item_Formula_Drum4,Recipe: Metal Fuel Drum,配方：金属油桶,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,57.076,-0.06,71.561,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_Formula_UVBulb2,formula,842,Item_Formula_UVBulb2,Recipe: UV Light,配方：紫外灯,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,140.61,-0.026,318.67,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_Formula_Drum4,formula,846,Item_Formula_Drum4,Recipe: Metal Fuel Drum,配方：金属油桶,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse.unity,Assets/Scenes/Level_HiddenWarehouse,57.076,-0.06,71.561,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_Formula_Injection_HotBlood,formula,439,Item_Formula_Injection_HotBlood,Recipe: Hot-Blood Injector,配方：热血针剂,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse_CellarUnderGround.unity,Assets/Scenes/Level_HiddenWarehouse,636.08708,0.0,92.658705,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_BP_PP19Bizon,formula,,Item_BP_PP19Bizon,Blueprint: Bizon-2,蓝图：Bizon-2,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse_CellarUnderGround.unity,Assets/Scenes/Level_HiddenWarehouse,740.38508,0.0,66.43170500000001,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_BP_GLick,formula,,Item_BP_Glick,Blueprint: Glick,蓝图：Glick,Assets/Scenes/Level_HiddenWarehouse/Level_HiddenWarehouse_CellarUnderGround.unity,Assets/Scenes/Level_HiddenWarehouse,654.54505,0.0,105.65170499999999,Level_HiddenWarehouse;Level_HiddenWarehouse_CellarUnderGround
LootBox_Formula_BP_ArmorLV5_2,formula,824,Item_Quest_BlueprintPieces_MF_2,MF Blueprint Fragment 2,MF蓝图碎片2,Assets/Scenes/Level_JLab/Level_JLab_1.unity,Assets/Scenes/Level_JLab,24.154,0.0,33.471,Level_JLab_1;Level_JLab_2
LootBox_Formula_BP_ColorMonitor,formula,,Item_BP_ColorMonitor,Blueprint: Color Monitor,蓝图：彩色显示器,Assets/Scenes/Level_JLab/Level_JLab_1.unity,Assets/Scenes/Level_JLab,-78.099976,0.0,-91.70001,Level_JLab_1;Level_JLab_2
